Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
RCKY,"Rocky Brands Inc",28.68,-0.24,-0.83%,29.24,29.24,28.44,11900,12/24/20
RCM,"R1 Rcm Inc",23.59,0.06,+0.25%,23.5,23.87,23.4,477300,12/24/20
RCUS,"Arcus Biosciences Inc",30.58,-0.75,-2.39%,31.68,32,30.29,155300,12/24/20
RDFN,"Redfin Corp",78.05,-0.33,-0.42%,78.79,80.55,77.7,810300,12/24/20
RDN,"Radian Group Inc",20,-0.15,-0.74%,20.24,20.34,19.71,261200,12/24/20
RDNT,"Radnet Inc",18.74,0.3,+1.63%,18.64,18.99,18.47,65000,12/24/20
RDUS,"Radius Health",18.32,-0.36,-1.93%,18.93,19.29,18.21,146500,12/24/20
RDVT,"Red Violet Inc",26.35,-0.21,-0.79%,26.51,26.7,25.33,24700,12/24/20
REAL,"The Realreal Inc",20.28,-0.02,-0.10%,20.11,20.8,19.71,874600,12/24/20
REFR,"Research Frontiers",2.81,-0.02,-0.71%,2.83,2.91,2.78,68900,12/24/20
REGI,"Renewable Energy",72.62,-4.61,-5.97%,77.35,77.8,72.04,688900,12/24/20
REPH,"Recro Pharma Inc",3,-0.24,-7.41%,3.21,3.21,2.95,559700,12/24/20
REPL,"Replimune Group Inc",41.86,-0.57,-1.34%,42.35,43.44,41.65,214600,12/24/20
RES,"RPC Inc",3.18,-0.09,-2.75%,3.31,3.31,3.15,263500,12/24/20
RESI,"Altisource Residential Corp",16.17,0.01,+0.06%,16.15,16.18,16.14,272000,12/24/20
RESN,"Resonant Inc",2.43,-0.08,-3.19%,2.54,2.57,2.41,641000,12/24/20
REV,"Revlon Inc",12.9,-0.98,-7.06%,13.88,14.01,12.83,113300,12/24/20
