Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
LFUS,Littelfuse Inc,251.66,-0.05,-0.02%,252.91,253.7,248.97,25900,12/24/20
LGIH,LGI Homes Inc,112.74,2.06,1.86%,110.01,112.84,109.61,75300,12/24/20
LGND,Ligand Pharm,106.05,0.38,0.36%,106.29,106.71,105.06,162300,12/24/20
LHCG,LHC Group Inc,220.06,-1.49,-0.67%,222.34,222.34,216.8,60800,12/24/20
LI,Li Auto Inc ADR,29.32,-1.24,-4.06%,30.29,30.38,29.14,13413700,12/24/20
LILAK,Liberty Latin America Cl C,11.24,-0.03,-0.31%,11.29,11.35,11.18,176500,12/24/20
LITE,Lumentum Hld,98.3,0.17,0.17%,98,98.94,97.65,519300,12/24/20
LIVN,Livanova Plc OR Sh,67.42,-0.01,-0.01%,68.07,68.59,66.83,192700,12/24/20
LKCO,Luokung Technology Corp,0.78,-0.02,-2.50%,0.8571,1.03,0.7257,15529600,12/24/20
LKFN,Lakeland Finl Corp,52.48,-0.24,-0.46%,53.67,53.67,52.06,18700,12/24/20
LKQ,LKQ Corp,36.26,0.01,0.03%,36.4,36.4,35.84,334600,12/24/20
LMNX,Luminex Corp,24.19,0.17,0.71%,24.14,24.47,23.78,121800,12/24/20
LNT,Alliant Energy Corp,50.02,0.48,0.97%,49.58,50.07,47.61,743100,12/24/20
LOB,Live Oak Bancsh,48.14,-1.04,-2.11%,49.28,49.4,47.62,98300,12/24/20
LOGI,Logitech Int S.A.,92.96,-0.85,-0.91%,94.05,94.41,92.8,182500,12/24/20
LOOP,Loop Industries Inc,8.28,-0.16,-1.90%,8.45,8.5,8.06,94000,12/24/20
LOPE,Grand Canyon Educati,94.94,0.15,0.16%,95.18,95.33,93.89,72100,12/24/20
LPLA,Lpl Financial Hld,103.84,-0.41,-0.39%,104.57,104.89,103.37,89200,12/24/20
LPRO,Open Lending Corp Cl A,33.2,-0.05,-0.15%,33.51,34,32.83,535100,12/24/20
LPSN,Liveperson Inc,65.06,-1.07,-1.62%,66.11,67,64.64,362400,12/24/20
LRCX,Lam Research Corp,480.34,9.21,1.95%,473.68,480.34,472.9,332900,12/24/20
LSCC,Lattice Semicond,43.76,0.4,0.92%,43.59,43.83,43.21,196800,12/24/20
LSTR,Landstar System,135.36,-0.01,-0.01%,135.17,135.53,134.05,79800,12/24/20
LSXMA,Liberty Srs XM CS A,42.68,0.11,0.26%,42.63,42.8,42.34,132400,12/24/20
LSXMK,Liberty Srs XM CS C,42.79,0.11,0.26%,42.75,43,42.37,233000,12/24/20
LULU,Lululemon Athletica,351.42,-3.71,-1.04%,355,356.39,350.45,757700,12/24/20
LUNG,Pulmonx Corp,65.22,0.03,0.05%,64.43,66.84,64.04,147200,12/24/20
LYFT,Lyft Inc Cl A,48.86,-1.21,-2.42%,50.02,50.07,48.69,1939700,12/24/20
MANH,Manhattan Assoc,106.57,-0.71,-0.66%,108.02,108.07,105.42,63500,12/24/20
MANT,Mantech Intl Cp A,83.31,0.64,0.77%,83.23,83.65,82.77,55300,12/24/20
MAR,Marriot Int Cl A,128.75,0.14,0.11%,128.62,128.98,127.5,592000,12/24/20
MASI,Masimo Corp,265.94,0.45,0.17%,266.55,269.33,265.32,90800,12/24/20
MAT,Mattel Inc,17.53,-0.08,-0.45%,17.67,17.8,17.46,735000,12/24/20
MBUU,Malibu Boats Inc,67.04,-0.84,-1.24%,68,68.37,66.79,39300,12/24/20
MCHP,Microchip Technology,136.77,0.77,0.57%,136.24,137.5,135.3,451800,12/24/20
MCRB,Seres Theraptc,24.28,-1.25,-4.90%,25.75,25.87,23.95,580900,12/24/20
